Year,Rank,Name,Team,Time,Notes,Rider
2008,5,Christian Vande Velde (USA),Garmin,"+3' 05""",Admitted to using doping on the US Postal team.Ban of six months with all results from June 2004 through April 2006 disqualified.[132],NA
2008,6,Fränk Schleck (LUX),Team CSC,"+4' 28""","Failed tests for diuretic masking agent xipamide at 2012 Tour de France, removed from Tour.Made payments of 7000 Euros to doper Euphemiano Fuentes[133]",NA
2008,7,Samuel Sánchez (ESP),Euskaltel,"+6' 25""",See #2010 Tour de France,NA
2008,8,Kim Kirchen (LUX),Team Columbia,"+6' 55""",,NA
2008,9,Alejandro Valverde (ESP),Caisse d'Epargne,"+7' 12""",See #2007 Tour de France,NA
2008,10,Tadej Valjavec (SLO),Ag2r,"+9' 05""","Irregular biological passport values, 2-year ban",NA
2009,1,Alberto Contador (ESP),Astana,"85h 48' 35""",See #2007 Tour de France,NA
2009,2,Andy Schleck (LUX),Team Saxo Bank,"+4' 11""",,NA
2009,3,Lance Armstrong (USA),Astana,"+5' 24""",See #1999 Tour de France,NA
2009,4,Bradley Wiggins (GBR),Garmin,"+6' 01""",,NA
2009,5,Fränk Schleck (LUX),Team Saxo Bank,"+6' 04""",See #2008 Tour de France,NA
2009,6,Andreas Klöden (GER),Astana,"+6' 42""",See #2004 Tour de France,NA
2009,7,Vincenzo Nibali (ITA),Liquigas,"+7' 35""",,NA
2009,8,Christian Vande Velde (USA),Garmin,"+12' 04""",See #2008 Tour de France,NA
2009,9,Roman Kreuziger (CZE),Liquigas,"+14' 16""",Targeted on the basis of inconsistencies in his biological passport from 2011-2012 while apart of Astana.[134] Client of Michele Ferrari.[135],NA
2009,10,Christophe Le Mével (FRA),Française des Jeux,"+14' 25""",,NA
2010,1,Alberto Contador (ESP),Astana,"91h 58'48""",See #2007 Tour de France. Disqualified from 2010 Tour de France.,NA
2010,2,Andy Schleck (LUX),Team Saxo Bank,"+ 39""",,NA
2010,3,Denis Menchov (RUS),Rabobank,"+2' 01""","Stripped of results for 2009, 2010 and 2012 tours [2]",NA
2010,4,Samuel Sánchez (ESP),Euskaltel,"+3' 40""",Failed tests for growth hormone GHRP-2 in an out of competition test [3],NA
2010,5,Jurgen Van den Broeck (BEL),Omega Pharma – Lotto,"+6' 54""",,NA
2010,6,Robert Gesink (NED),Rabobank,"+9' 31""",,NA
2010,7,Ryder Hesjedal (CAN),Garmin,"+10' 15""",Admitted to doping [4],NA
2010,8,Joaquim Rodríguez (ESP),Katusha,"+11' 37""",,NA
2010,9,Roman Kreuziger (CZE),Liquigas,"+11' 54""",See #2009 Tour de France.,NA
2010,10,Chris Horner (USA),Team Radioshack,"+12' 02""",,NA
2011,1,Cadel Evans (AUS),BMC Racing Team,86h 12′ 22″,documented client of Michele Ferrari,NA
2011,2,Andy Schleck (LUX),Leopard Trek,+ 1′ 34″,,NA
2011,3,Fränk Schleck (LUX),Leopard Trek,+ 2′ 30″,See #2008 Tour de France,NA
2011,4,Thomas Voeckler (FRA),Team Europcar,+ 3′ 20″,,NA
2011,5,Samuel Sánchez (ESP),Euskaltel–Euskadi,+ 4′ 55″,See #2010 Tour de France,NA
2011,6,Damiano Cunego (ITA),Lampre–ISD,+ 6′ 05″,,NA
2011,7,Ivan Basso (ITA),Liquigas–Cannondale,+ 7′ 23″,See #2003 Tour de France,NA
2011,8,Tom Danielson (USA),Garmin–Cervélo,+ 8′ 15″,Admitted to using doping on the US Postal team.Banned for six months with all results from March 2005 through 23 September 2006 disqualified.[136],NA
2011,9,Jean-Christophe Péraud (FRA),Ag2r–La Mondiale,+ 10′ 11″,,NA
2011,10,Pierre Rolland (FRA),Team Europcar,+ 10′ 43″,,NA
